DATE,CARGSP
1997-01-01,1378653.7
1998-01-01,1470393.0
1999-01-01,1582377.4
2000-01-01,1709938.7
2001-01-01,1702775.7
2002-01-01,1743650.6
2003-01-01,1825424.0
2004-01-01,1902318.8
2005-01-01,1990140.8
2006-01-01,2072177.0
2007-01-01,2103618.2
2008-01-01,2111138.0
2009-01-01,2026486.9
2010-01-01,2058137.9
2011-01-01,2091586.0
2012-01-01,2144497.3
2013-01-01,2220867.6
2014-01-01,2309927.5
2015-01-01,2425160.1
2016-01-01,2500645.2
2017-01-01,2576222.6
